full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college,version,bmi
Marvin Williams,76,#2,Milwaukee Bucks,F,1986-06-19,2.03,108.9,14654179,USA,2005,1,2,North Carolina,NBA2k20,26.4262661069184
Delon Wright,76,#55,Dallas Mavericks,G,1992-04-26,1.96,82.1,9473684,USA,2015,1,20,Utah,NBA2k20,21.371303623490213
Coby White,76,#0,Chicago Bulls,G,2000-02-16,1.93,83.9,5307120,USA,2019,1,7,North Carolina,NBA2k20,22.52409460656662
Pau Gasol,75,#0,missing_,C,1980-07-06,2.16,113.4,5538540,Spain,2001,1,3,missing_,NBA2k20,24.305555555555554
Aron Baynes,75,#46,Phoenix Suns,C,1986-12-09,2.08,117.9,5453280,Australia,2009,0,0,Washington State,NBA2k20,27.251294378698223
Kent Bazemore,75,#26,Sacramento Kings,G,1989-07-01,1.93,88.5,19269663,USA,2012,0,0,Old Dominion,NBA2k20,23.759027087975518
Marco Belinelli,75,#18,San Antonio Spurs,G,1986-03-25,1.96,90.7,5846154,Italy,2007,1,18,missing_,NBA2k20,23.60995418575594
Bismack Biyombo,75,#8,Charlotte Hornets,C,1992-08-28,2.03,103.9,17000000,Democratic Republic of the Congo,2011,1,7,missing_,NBA2k20,25.212938921109476
Mikal Bridges,75,#25,Phoenix Suns,F-G,1996-08-30,1.98,94.8,4161000,USA,2018,1,10,Villanova,NBA2k20,24.181205999387817
Wilson Chandler,75,#21,Brooklyn Nets,F-G,1987-05-10,2.03,102.1,2564753,USA,2007,1,23,DePaul,NBA2k20,24.776141134218257
Damyean Dotson,75,#21,New York Knicks,G,1994-05-06,1.96,91.6,1618520,USA,2017,2,44,Houston,NBA2k20,23.844231570179094
Kris Dunn,75,#32,Chicago Bulls,G,1994-03-18,1.91,93.0,5348007,USA,2016,1,5,Providence,NBA2k20,25.492722238973712
Wayne Ellington,75,#2,New York Knicks,G,1987-11-29,1.93,90.7,8000000,USA,2009,1,28,North Carolina,NBA2k20,24.34964697038847
Bryn Forbes,75,#11,San Antonio Spurs,G,1993-07-23,1.88,84.8,2875000,USA,2016,0,0,Michigan State,NBA2k20,23.99275690357628
Josh Hart,75,#3,New Orleans Pelicans,G,1995-03-06,1.96,92.5,1934160,USA,2017,1,30,Villanova,NBA2k20,24.078508954602253
John Henson,75,#31,Detroit Pistons,F,1990-12-28,2.06,99.8,9732396,USA,2012,1,14,North Carolina,NBA2k20,23.51776793288717
Mario Hezonja,75,#44,Portland Trail Blazers,F-G,1995-02-25,2.03,91.2,1737145,Croatia,2015,1,5,missing_,NBA2k20,22.131087869154804
George Hill,75,#3,Milwaukee Bucks,G,1986-05-04,1.91,81.6,10133907,USA,2008,1,26,IUPUI,NBA2k20,22.36780790000274
Rondae Hollis-Jefferson,75,#4,Toronto Raptors,F,1995-01-03,1.98,95.7,2500000,USA,2015,1,23,Arizona,NBA2k20,24.410774410774412
Richaun Holmes,75,#22,Sacramento Kings,F,1993-10-15,2.08,110.2,4767000,USA,2015,2,37,Bowling Green,NBA2k20,25.47152366863905
James Johnson,75,#0,Minnesota Timberwolves,F,1987-02-20,2.01,111.1,15349400,USA,2009,1,16,Wake Forest,NBA2k20,27.49931932377912
Luke Kennard,75,#5,Detroit Pistons,G,1996-06-24,1.96,88.9,3827160,USA,2017,1,12,Duke,NBA2k20,23.141399416909625
Kyle Korver,75,#26,Milwaukee Bucks,F,1981-03-17,2.01,96.2,6004753,USA,2003,2,51,Creighton,NBA2k20,23.811291799707934
Rodions Kurucs,75,#0,Brooklyn Nets,F,1998-02-05,2.06,97.5,1699236,Latvia,2018,2,40,missing_,NBA2k20,22.975775285135263
Jake Layman,75,#10,Minnesota Timberwolves,F,1994-03-07,2.03,94.8,3581986,USA,2016,2,47,Maryland,NBA2k20,23.004683442937228
Robin Lopez,75,#42,Milwaukee Bucks,C,1988-04-01,2.13,115.7,4767000,USA,2008,1,15,Stanford,NBA2k20,25.50199475412727
Trey Lyles,75,#41,San Antonio Spurs,F,1995-11-05,2.06,109.3,5500000,Canada,2015,1,12,Kentucky,NBA2k20,25.756433217079838
Boban Marjanovic,75,#51,Dallas Mavericks,C,1988-08-15,2.24,131.5,3500000,Serbia,2010,0,0,missing_,NBA2k20,26.207748724489793
TJ McConnell,75,#9,Indiana Pacers,G,1992-03-25,1.85,90.7,3500000,USA,2015,0,0,Arizona,NBA2k20,26.501095690284878
Patrick Mills,75,#8,San Antonio Spurs,G,1988-08-11,1.85,83.9,12678571,Australia,2009,2,55,Saint Mary's,NBA2k20,24.514243973703433
Malik Monk,75,#1,Charlotte Hornets,G,1998-02-04,1.91,89.4,4028400,USA,2017,1,11,Kentucky,NBA2k20,24.505907184561828
Markieff Morris,75,#88,Los Angeles Lakers,F,1989-09-02,2.03,111.1,3709887,USA,2011,1,13,Kansas,NBA2k20,26.960130068674324
Shabazz Napier,75,#0,Washington Wizards,G,1991-07-14,1.83,79.4,1845301,USA,2014,1,24,UConn,NBA2k20,23.70927767326585
Cedi Osman,75,#16,Cleveland Cavaliers,F-G,1995-04-08,2.01,97.5,2907143,Turkey,2015,2,31,missing_,NBA2k20,24.1330660132175
Tomas Satoransky,75,#31,Chicago Bulls,G,1991-10-30,2.01,89.8,10000000,Czech,2012,2,32,missing_,NBA2k20,22.22717259473776
Mike Scott,75,#1,Philadelphia 76ers,F,1988-07-16,2.01,107.5,4767000,USA,2012,2,43,Virginia,NBA2k20,26.6082522709834
Noah Vonleh,75,#0,Denver Nuggets,F,1995-08-24,2.08,112.0,2000000,USA,2014,1,9,Indiana,NBA2k20,25.88757396449704
Allonzo Trier,75,#0,missing_,G-F,1996-01-17,1.93,90.7,3551100,USA,2018,0,0,Arizona,NBA2k20,24.34964697038847
Juan Hernangomez,74,#41,Minnesota Timberwolves,F,1995-09-28,2.06,99.8,3321029,Spain,2016,1,15,missing_,NBA2k20,23.51776793288717
Kyle Anderson,74,#1,Memphis Grizzlies,F,1993-09-20,2.06,104.3,9073050,USA,2014,1,30,UCLA,NBA2k20,24.578188330662645
Jordan Bell,74,#0,Cleveland Cavaliers,F-C,1995-01-07,2.03,101.6,1870564,USA,2017,2,38,Oregon,NBA2k20,24.654808415637365
Khem Birch,74,#24,Orlando Magic,C,1992-09-28,2.06,94.8,3000000,Canada,2014,0,0,UNLV,NBA2k20,22.339523046469978
Dillon Brooks,74,#24,Memphis Grizzlies,G-F,1996-01-22,2.01,102.1,1618520,Canada,2017,2,45,Oregon,NBA2k20,25.271651691789813
Reggie Bullock,74,#25,New York Knicks,G,1991-03-16,1.98,90.7,4000000,USA,2013,1,25,North Carolina,NBA2k20,23.13539434751556
Zach Collins,74,#33,Portland Trail Blazers,C,1997-11-17,2.11,105.2,4240200,USA,2017,1,10,Gonzaga,NBA2k20,23.629298533276433
Pat Connaughton,74,#24,Milwaukee Bucks,G,1993-01-06,1.96,97.5,1723050,USA,2015,2,41,Notre Dame,NBA2k20,25.380049979175347
Quinn Cook,74,#2,Los Angeles Lakers,G,1993-03-23,1.85,81.6,3000000,USA,2015,0,0,Duke,NBA2k20,23.842220598977352
Torrey Craig,74,#3,Denver Nuggets,G,1990-12-19,2.01,97.5,2000000,USA,2014,0,0,USC Upstate,NBA2k20,24.1330660132175
Seth Curry,74,#30,Dallas Mavericks,G,1990-08-23,1.88,81.6,7461380,USA,2013,0,0,Duke,NBA2k20,23.087369850611136
Cheick Diallo,74,#14,Phoenix Suns,F-C,1996-09-13,2.03,99.3,1678854,Mali,2016,2,33,Kansas,NBA2k20,24.096677910165262
Yogi Ferrell,74,#3,Sacramento Kings,G,1993-05-09,1.83,80.7,3150000,USA,2016,0,0,Indiana,NBA2k20,24.097464839200928
Markelle Fultz,74,#20,Orlando Magic,G,1998-05-29,1.91,88.5,9745200,USA,2017,1,1,Washington,NBA2k20,24.259203420958855
Harry Giles,74,#20,Sacramento Kings,F-C,1998-04-22,2.11,105.2,2578800,USA,2017,1,20,Duke,NBA2k20,23.629298533276433
Moe Harkless,74,#0,New York Knicks,F,1993-05-11,2.01,94.3,11011234,USA,2012,1,15,St. John's,NBA2k20,23.341006410732412
Justin Jackson,74,#44,Dallas Mavericks,F-G,1995-03-28,2.01,91.2,3280920,USA,2017,1,15,North Carolina,NBA2k20,22.573698670824985
Tyler Johnson,74,#0,Brooklyn Nets,G,1992-05-07,1.91,84.4,19428485,USA,2014,0,0,Fresno State,NBA2k20,23.135330720100878
Derrick Jones,74,#5,Miami Heat,F,1997-02-15,1.98,88.5,1645357,USA,2016,0,0,UNLV,NBA2k20,22.574227119681666
Cory Joseph,74,#9,Sacramento Kings,G,1991-08-20,1.91,83.9,12000000,Canada,2011,1,29,Texas,NBA2k20,22.998273073654783
Maxi Kleber,74,#42,Dallas Mavericks,F-C,1992-01-29,2.08,95.7,8000000,Germany,2014,0,0,missing_,NBA2k20,22.1200073964497
TJ Leaf,74,#22,Indiana Pacers,F-C,1997-04-30,2.08,100.7,2813280,Israel,2017,1,18,UCLA,NBA2k20,23.27570266272189
Doug McDermott,74,#20,Indiana Pacers,F,1992-01-03,2.01,98.9,7333333,USA,2014,1,11,Creighton,NBA2k20,24.479592089304727
E'Twaun Moore,74,#55,New Orleans Pelicans,G,1989-02-25,1.91,86.6,8664928,USA,2011,2,55,Purdue,NBA2k20,23.73838436446369
Joakim Noah,74,#0,Los Angeles Clippers,C,1985-02-25,2.11,103.0,6813026,USA,2007,1,9,Florida,NBA2k20,23.13514970463377
Kyle O'Quinn,74,#9,Philadelphia 76ers,F-C,1990-03-26,2.06,108.9,2174318,USA,2012,2,49,Norfolk State,NBA2k20,25.662173626166464
Chandler Parsons,74,#0,missing_,F,1988-10-25,2.06,90.7,25102512,USA,2011,2,38,Florida,NBA2k20,21.373362239607882
Norman Powell,74,#24,Toronto Raptors,G,1993-05-25,1.91,97.5,10116576,USA,2015,2,46,UCLA,NBA2k20,26.72624105698857
Ivan Rabb,74,#0,missing_,F-C,1997-02-04,2.08,99.8,451326,USA,2017,2,35,California,NBA2k20,23.067677514792898
Glenn Robinson III,74,#22,Golden State Warriors,F,1994-01-08,1.98,95.7,1882867,USA,2014,2,40,Michigan,NBA2k20,24.410774410774412
Denzel Valentine,74,#45,Chicago Bulls,G,1993-11-16,1.93,95.3,3377568,USA,2016,1,14,Michigan State,NBA2k20,25.584579451797364
